algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc,per_cluster_pruning_ratio
intelligent_pruning,0.2,82,LR,0.675,0.3924050632911392,0.6458333333333334,0.4881889763779527,0.7642543859649124,0.5
intelligent_pruning,0.2,82,SVM,0.67,0.38461538461538464,0.625,0.4761904761904762,0.7269736842105262,0.5
intelligent_pruning,0.2,82,DT,0.665,0.38823529411764707,0.6875,0.4962406015037594,0.6726973684210527,0.5
intelligent_pruning,0.4,82,LR,0.675,0.3924050632911392,0.6458333333333334,0.4881889763779527,0.759046052631579,0.5
intelligent_pruning,0.4,82,SVM,0.67,0.3875,0.6458333333333334,0.48437500000000006,0.7279331140350876,0.5
intelligent_pruning,0.4,82,DT,0.665,0.39080459770114945,0.7083333333333334,0.5037037037037037,0.6798245614035089,0.5
intelligent_pruning,0.6,82,LR,0.675,0.3950617283950617,0.6666666666666666,0.49612403100775193,0.7627467105263158,0.5
intelligent_pruning,0.6,82,SVM,0.665,0.38271604938271603,0.6458333333333334,0.48062015503875966,0.7342379385964912,0.5
intelligent_pruning,0.6,82,DT,0.66,0.38372093023255816,0.6875,0.49253731343283585,0.6694078947368421,0.5
intelligent_pruning,0.8,82,LR,0.66,0.3780487804878049,0.6458333333333334,0.47692307692307695,0.7595942982456141,0.5
intelligent_pruning,0.8,82,SVM,0.66,0.3780487804878049,0.6458333333333334,0.47692307692307695,0.7323190789473686,0.5
intelligent_pruning,0.8,82,DT,0.655,0.3764705882352941,0.6666666666666666,0.4812030075187971,0.6589912280701754,0.5
intelligent_pruning,1.0,82,LR,0.66,0.38095238095238093,0.6666666666666666,0.4848484848484849,0.759594298245614,0.5
intelligent_pruning,1.0,82,SVM,0.665,0.3855421686746988,0.6666666666666666,0.48854961832061067,0.7284813596491229,0.5
intelligent_pruning,1.0,82,DT,0.635,0.3563218390804598,0.6458333333333334,0.4592592592592593,0.6387061403508771,0.5
intelligent_pruning,0.2,82,LR,0.665,0.38271604938271603,0.6458333333333334,0.48062015503875966,0.7594572368421052,0.7
intelligent_pruning,0.2,82,SVM,0.67,0.38461538461538464,0.625,0.4761904761904762,0.7245065789473684,0.7
intelligent_pruning,0.2,82,DT,0.66,0.38372093023255816,0.6875,0.49253731343283585,0.6694078947368421,0.7
intelligent_pruning,0.4,82,LR,0.67,0.3902439024390244,0.6666666666666666,0.4923076923076923,0.7624725877192983,0.7
intelligent_pruning,0.4,82,SVM,0.68,0.3974358974358974,0.6458333333333334,0.492063492063492,0.7282072368421053,0.7
intelligent_pruning,0.4,82,DT,0.64,0.36046511627906974,0.6458333333333334,0.46268656716417916,0.6419956140350876,0.7
intelligent_pruning,0.6,82,LR,0.665,0.3855421686746988,0.6666666666666666,0.48854961832061067,0.7578125,0.7
intelligent_pruning,0.6,82,SVM,0.665,0.38271604938271603,0.6458333333333334,0.48062015503875966,0.7225877192982457,0.7
intelligent_pruning,0.6,82,DT,0.655,0.3764705882352941,0.6666666666666666,0.4812030075187971,0.6589912280701754,0.7
intelligent_pruning,0.8,82,LR,0.67,0.3902439024390244,0.6666666666666666,0.4923076923076923,0.7627467105263158,0.7
intelligent_pruning,0.8,82,SVM,0.665,0.38271604938271603,0.6458333333333334,0.48062015503875966,0.7320449561403508,0.7
intelligent_pruning,0.8,82,DT,0.655,0.3764705882352941,0.6666666666666666,0.4812030075187971,0.6589912280701754,0.7
intelligent_pruning,1.0,82,LR,0.665,0.3855421686746988,0.6666666666666666,0.48854961832061067,0.7595942982456139,0.7
intelligent_pruning,1.0,82,SVM,0.67,0.3902439024390244,0.6666666666666666,0.4923076923076923,0.729029605263158,0.7
intelligent_pruning,1.0,82,DT,0.645,0.367816091954023,0.6666666666666666,0.4740740740740741,0.6524122807017543,0.7
intelligent_pruning,0.2,82,LR,0.67,0.3875,0.6458333333333334,0.48437500000000006,0.7602796052631579,0.9
intelligent_pruning,0.2,82,SVM,0.675,0.3924050632911392,0.6458333333333334,0.4881889763779527,0.7260142543859649,0.9
intelligent_pruning,0.2,82,DT,0.66,0.38095238095238093,0.6666666666666666,0.4848484848484849,0.662280701754386,0.9
intelligent_pruning,0.4,82,LR,0.675,0.3950617283950617,0.6666666666666666,0.49612403100775193,0.7617872807017544,0.9
intelligent_pruning,0.4,82,SVM,0.675,0.3924050632911392,0.6458333333333334,0.4881889763779527,0.7260142543859649,0.9
intelligent_pruning,0.4,82,DT,0.655,0.3764705882352941,0.6666666666666666,0.4812030075187971,0.6589912280701754,0.9
intelligent_pruning,0.6,82,LR,0.675,0.3950617283950617,0.6666666666666666,0.49612403100775193,0.7620614035087719,0.9
intelligent_pruning,0.6,82,SVM,0.675,0.3924050632911392,0.6458333333333334,0.4881889763779527,0.7253289473684211,0.9
intelligent_pruning,0.6,82,DT,0.655,0.3764705882352941,0.6666666666666666,0.4812030075187971,0.6589912280701754,0.9
intelligent_pruning,0.8,82,LR,0.67,0.3902439024390244,0.6666666666666666,0.4923076923076923,0.7617872807017545,0.9
intelligent_pruning,0.8,82,SVM,0.68,0.4,0.6666666666666666,0.5,0.7317708333333333,0.9
intelligent_pruning,0.8,82,DT,0.655,0.3793103448275862,0.6875,0.4888888888888889,0.6661184210526316,0.9
intelligent_pruning,1.0,82,LR,0.675,0.3950617283950617,0.6666666666666666,0.49612403100775193,0.7574013157894737,0.9
intelligent_pruning,1.0,82,SVM,0.67,0.3902439024390244,0.6666666666666666,0.4923076923076923,0.7254660087719298,0.9
intelligent_pruning,1.0,82,DT,0.65,0.375,0.6875,0.4852941176470588,0.662828947368421,0.9
