,ambari_vuln,defect_mylyn,eclipse_JDT,eclipse_PDE,js_vuln,moodle_vuln
svm_smote,0.6,0.81,0.72,0.59,0.79,(0.66)
No_Sampling,0.61,-inf,0.7,0.59,0.76,(0.63)
RRP,0.6,0.82,(0.73),-inf,-inf,(0.68)
gaussian_copula,0.62,0.7,0.69,0.59,0.76,0.59
intelligent_pruning,(0.65),0.82,0.72,(0.6),0.78,(0.66)
random_oversampling,0.62,(0.83),(0.72),0.58,(0.79),(0.61)
random_pruning,0.65,0.8,0.72,0.59,0.78,(0.64)
smote,0.6,0.81,(0.73),0.58,0.79,(0.69)
