,ambari_vuln,defect_mylyn,eclipse_JDT,eclipse_PDE,js_vuln,moodle_vuln
svm_smote,(0.07),0.41,(0.56),0.26,(0.53),0.0
No_Sampling,(0.07),0.41,(0.56),0.26,(0.53),0.0
RRP,(0.07),0.41,(0.56),0.26,(0.53),0.0
gaussian_copula,(0.07),0.41,(0.56),0.26,(0.53),0.0
intelligent_pruning,(0.07),(0.46),(0.56),(0.3),(0.53),(0.13)
random_oversampling,(0.07),(0.46),(0.56),(0.3),(0.53),(0.13)
random_pruning,(0.07),(0.46),(0.56),(0.3),(0.53),(0.13)
smote,(0.07),(0.46),(0.56),(0.3),(0.54),(0.13)
