,ambari_vuln,defect_mylyn,eclipse_JDT,eclipse_PDE,js_vuln,moodle_vuln
svm_smote,0.02,0.46,(0.57),0.23,0.59,0.0
No_Sampling,0.02,-inf,0.51,0.21,0.58,0.0
RRP,0.02,0.42,0.53,-inf,-inf,0.0
gaussian_copula,0.02,0.38,0.53,0.21,0.59,0.0
intelligent_pruning,(0.05),(0.5),0.54,(0.25),0.61,(0.13)
random_oversampling,0.02,0.47,0.55,0.24,(0.62),0.0
random_pruning,0.04,0.46,0.55,0.24,0.61,0.05
smote,0.02,0.47,0.53,0.21,0.59,0.0
