,ambari_vuln,defect_mylyn,eclipse_JDT,eclipse_PDE,js_vuln,moodle_vuln
svm_smote,(0.05),(0.47),0.56,0.24,0.61,0.0
No_Sampling,0.02,-inf,0.52,0.21,0.59,0.0
RRP,0.02,0.43,0.54,-inf,-inf,0.0
gaussian_copula,0.02,0.38,0.53,0.22,0.6,0.0
intelligent_pruning,0.02,(0.47),0.56,(0.29),0.6,(0.15)
random_oversampling,0.02,0.41,0.56,0.24,0.6,0.0
random_pruning,0.02,(0.48),0.54,0.24,0.6,0.0
smote,0.04,(0.48),(0.57),0.23,(0.62),0.0
