,ambari_vuln,defect_mylyn,eclipse_JDT,eclipse_PDE,js_vuln,moodle_vuln
svm_smote,0.25,0.77,(0.77),0.58,0.75,0.62
No_Sampling,0.23,-inf,0.76,0.58,0.72,(0.65)
RRP,0.24,0.78,0.75,-inf,-inf,(0.7)
gaussian_copula,0.24,0.76,0.74,(0.61),0.72,0.59
intelligent_pruning,(0.42),(0.78),0.77,0.59,0.75,(0.7)
random_oversampling,0.24,0.76,0.76,0.58,(0.76),(0.7)
random_pruning,0.35,0.77,0.76,0.6,0.75,(0.7)
smote,0.24,0.76,0.76,0.58,0.75,0.64
