,ambari_vuln,defect_mylyn,eclipse_JDT,eclipse_PDE,js_vuln,moodle_vuln
svm_smote,0.38,0.81,0.76,0.58,0.82,(0.71)
No_Sampling,0.37,-inf,(0.77),0.57,0.83,0.66
RRP,0.38,0.79,0.76,-inf,-inf,(0.7)
gaussian_copula,0.37,0.8,0.75,0.58,0.82,(0.7)
intelligent_pruning,(0.55),(0.82),0.76,(0.6),0.82,(0.77)
random_oversampling,0.37,0.82,0.76,0.58,(0.83),(0.69)
random_pruning,0.38,0.81,0.75,0.59,0.82,0.68
smote,0.38,0.79,(0.77),0.58,0.82,0.67
