,ambari_vuln,defect_mylyn,eclipse_JDT,eclipse_PDE,js_vuln,moodle_vuln
svm_smote,0.57,(0.87),(0.8),0.68,0.91,0.98
No_Sampling,(0.59),-inf,0.78,(0.71),0.91,0.98
RRP,0.58,0.87,0.79,-inf,-inf,0.98
gaussian_copula,0.58,0.87,0.79,0.7,0.91,(0.99)
intelligent_pruning,0.58,0.87,0.79,0.7,0.91,0.98
random_oversampling,0.59,0.86,0.79,0.69,(0.91),0.98
random_pruning,0.57,0.87,0.78,0.69,0.91,0.98
smote,0.57,0.87,0.78,0.69,0.91,0.98
