,ambari_vuln,defect_mylyn,eclipse_JDT,eclipse_PDE,js_vuln,moodle_vuln
svm_smote,(0.65),0.65,(0.71),0.56,(0.73),0.49
No_Sampling,0.39,-inf,0.67,0.54,0.71,0.49
RRP,0.39,0.65,0.7,-inf,-inf,0.49
gaussian_copula,0.38,0.62,0.7,0.53,0.71,0.49
intelligent_pruning,0.49,(0.7),(0.71),(0.6),(0.73),(0.64)
random_oversampling,0.48,0.66,(0.71),0.56,(0.73),0.5
random_pruning,0.48,0.67,0.7,0.55,0.72,(0.62)
smote,0.47,0.65,(0.71),0.56,(0.73),0.49
