,ambari_vuln,defect_mylyn,eclipse_JDT,eclipse_PDE,js_vuln,moodle_vuln
svm_smote,0.2,0.49,0.56,0.45,0.56,0.14
No_Sampling,0.2,-inf,0.48,0.29,0.18,0.0
RRP,0.2,(0.68),0.58,-inf,-inf,(0.43)
gaussian_copula,0.2,0.12,0.48,0.43,0.22,0.0
intelligent_pruning,(0.4),0.67,(0.6),(0.48),(0.65),(0.57)
random_oversampling,0.2,0.63,0.6,0.38,0.56,0.43
random_pruning,0.4,(0.68),0.58,0.45,0.55,(0.5)
smote,0.2,0.63,0.6,0.43,0.54,(0.5)
