,ambari_vuln,defect_mylyn,eclipse_JDT,eclipse_PDE,js_vuln,moodle_vuln
svm_smote,0.57,(0.85),0.79,0.7,(0.88),0.97
No_Sampling,0.57,(0.85),0.79,0.71,(0.88),(0.99)
RRP,0.57,(0.85),0.79,0.71,(0.88),(0.99)
gaussian_copula,(0.57),(0.85),0.79,(0.72),(0.88),(0.99)
intelligent_pruning,(0.57),(0.85),(0.8),(0.72),(0.88),(0.99)
random_oversampling,(0.57),(0.85),(0.8),(0.72),(0.88),(0.99)
random_pruning,(0.57),(0.85),(0.8),(0.72),(0.88),(0.99)
smote,(0.57),(0.85),(0.8),(0.72),(0.88),(0.99)
