,ambari_vuln,defect_mylyn,eclipse_JDT,eclipse_PDE,js_vuln,moodle_vuln
svm_smote,0.2,0.39,0.58,0.33,0.5,0.0
No_Sampling,0.2,0.39,0.58,0.33,0.5,0.0
RRP,0.2,0.39,0.58,0.33,0.5,0.0
gaussian_copula,0.2,0.39,0.58,0.33,0.5,0.0
intelligent_pruning,(0.6),(0.74),(0.71),(0.4),(0.64),(0.57)
random_oversampling,(0.6),(0.74),(0.71),(0.4),(0.64),(0.57)
random_pruning,(0.6),(0.77),(0.71),(0.4),(0.64),(0.57)
smote,(0.6),(0.77),(0.71),(0.4),(0.64),(0.57)
