,ambari_vuln,defect_mylyn,eclipse_JDT,eclipse_PDE,js_vuln,moodle_vuln
svm_smote,0.37,0.83,0.75,0.58,(0.84),(0.68)
No_Sampling,0.35,-inf,0.74,0.58,0.82,0.63
RRP,0.37,0.83,0.75,-inf,-inf,(0.68)
gaussian_copula,0.36,0.81,0.74,0.58,0.82,(0.7)
intelligent_pruning,(0.42),0.83,0.76,(0.6),0.82,(0.74)
random_oversampling,0.39,0.81,0.74,0.57,0.82,0.59
random_pruning,0.37,0.83,0.75,0.59,0.83,(0.71)
smote,0.34,(0.84),(0.76),0.57,0.83,(0.69)
