,ambari_vuln,defect_mylyn,eclipse_JDT,eclipse_PDE,js_vuln,moodle_vuln
svm_smote,0.57,0.86,0.79,0.68,0.9,0.98
No_Sampling,(0.6),0.86,0.79,(0.71),0.9,(0.99)
RRP,(0.6),(0.88),0.79,(0.71),0.9,(0.99)
gaussian_copula,(0.6),(0.88),0.79,(0.71),0.9,(0.99)
intelligent_pruning,(0.6),(0.88),0.79,(0.71),0.91,(0.99)
random_oversampling,(0.6),(0.88),(0.79),(0.71),(0.91),(0.99)
random_pruning,(0.6),(0.88),(0.79),(0.71),(0.91),(0.99)
smote,(0.6),(0.88),(0.79),(0.71),(0.91),(0.99)
