,ambari_vuln,defect_mylyn,eclipse_JDT,eclipse_PDE,js_vuln,moodle_vuln
svm_smote,0.01,0.66,(0.58),0.17,0.84,0.0
No_Sampling,0.01,0.66,(0.58),0.17,0.84,0.0
RRP,0.01,0.66,(0.58),0.17,0.84,0.0
gaussian_copula,0.01,(0.7),(0.58),0.17,0.84,0.0
intelligent_pruning,(0.03),(0.7),(0.58),(0.18),0.84,(0.08)
random_oversampling,(0.03),(0.7),(0.58),(0.18),0.84,(0.08)
random_pruning,(0.03),(0.7),(0.58),(0.18),0.84,(0.08)
smote,(0.03),(0.7),(0.58),(0.18),(0.85),(0.08)
