,ambari_vuln,defect_mylyn,eclipse_JDT,eclipse_PDE,js_vuln,moodle_vuln
svm_smote,0.01,0.54,0.57,0.22,0.69,(0.12)
No_Sampling,0.01,0.54,0.57,0.22,(0.82),(0.12)
RRP,0.01,0.54,0.57,0.22,(0.82),(0.12)
gaussian_copula,0.01,0.54,0.57,(0.23),(0.82),(0.12)
intelligent_pruning,(0.02),(0.56),(0.59),(0.23),(0.82),(0.12)
random_oversampling,(0.02),(0.56),(0.59),(0.23),(0.82),(0.12)
random_pruning,(0.02),(0.56),(0.59),(0.23),(0.82),(0.12)
smote,(0.02),(0.56),(0.59),(0.23),(0.82),(0.12)
