,ambari_vuln,defect_mylyn,eclipse_JDT,eclipse_PDE,js_vuln,moodle_vuln
svm_smote,0.56,0.83,0.79,(0.69),(0.86),0.97
No_Sampling,0.56,0.83,0.79,(0.69),(0.86),0.97
RRP,(0.56),0.83,0.79,(0.69),(0.86),0.97
gaussian_copula,(0.56),0.83,0.79,(0.69),(0.86),0.97
intelligent_pruning,(0.58),0.83,0.79,(0.7),(0.86),0.97
random_oversampling,(0.58),(0.84),(0.81),(0.7),(0.86),(0.98)
random_pruning,(0.58),(0.84),(0.81),(0.7),(0.86),(0.98)
smote,(0.58),(0.84),(0.81),(0.7),(0.87),(0.98)
