,0.0,0.2,0.4,0.6,0.8,1.0
svm_smote,-inf,(0.12),(0.08),(0.05),0.05,0.04
No_Sampling,0.0,-inf,-inf,-inf,-inf,-inf
RRP,-inf,(0.09),0.04,0.02,0.04,0.04
gaussian_copula,-inf,0.0,0.0,0.0,0.0,0.0
intelligent_pruning,-inf,(0.08),(0.07),(0.11),(0.1),(0.1)
random_oversampling,-inf,(0.12),0.04,0.04,0.04,0.04
random_pruning,-inf,0.0,0.0,0.0,0.0,0.03
smote,-inf,(0.1),0.04,0.04,0.04,0.04
