,0.0,0.2,0.4,0.6,0.8,1.0
svm_smote,-inf,0.16,0.17,0.16,0.17,0.19
No_Sampling,0.18,-inf,-inf,-inf,-inf,-inf
RRP,-inf,-inf,-inf,-inf,-inf,-inf
gaussian_copula,-inf,0.18,0.18,0.18,0.18,0.18
intelligent_pruning,-inf,0.18,0.19,0.2,0.19,(0.21)
random_oversampling,-inf,0.15,0.15,0.14,0.15,0.15
random_pruning,-inf,0.18,0.17,0.17,0.19,0.19
smote,-inf,0.16,0.16,0.16,0.15,0.17
