,0.0,0.2,0.4,0.6,0.8,1.0
svm_smote,-inf,0.12,0.23,0.26,0.28,0.4
No_Sampling,-inf,-inf,-inf,-inf,-inf,-inf
RRP,-inf,0.14,0.25,0.4,0.56,0.61
gaussian_copula,-inf,0.12,0.12,0.12,0.12,0.12
intelligent_pruning,-inf,0.09,0.12,0.12,0.19,0.61
random_oversampling,-inf,0.16,0.3,0.44,0.58,(0.67)
random_pruning,-inf,0.09,0.11,0.14,0.25,0.61
smote,-inf,0.14,0.28,0.44,0.58,0.58
