,0.0,0.2,0.4,0.6,0.8,1.0
svm_smote,-inf,0.84,0.8,0.76,0.74,0.69
No_Sampling,0.84,-inf,-inf,-inf,-inf,-inf
RRP,-inf,-inf,-inf,-inf,-inf,-inf
gaussian_copula,-inf,0.84,0.84,0.83,0.83,0.82
intelligent_pruning,-inf,0.81,0.83,0.78,0.69,0.67
random_oversampling,-inf,0.84,0.73,0.66,0.57,0.5
random_pruning,-inf,0.83,0.81,0.76,0.64,0.44
smote,-inf,(0.85),0.82,0.8,0.78,0.73
