,0.0,0.2,0.4,0.6,0.8,1.0
svm_smote,-inf,0.77,0.78,0.77,0.77,0.79
No_Sampling,0.76,-inf,-inf,-inf,-inf,-inf
RRP,-inf,0.77,0.76,0.76,0.77,0.76
gaussian_copula,-inf,0.77,0.76,0.76,0.78,0.77
intelligent_pruning,-inf,0.78,0.78,0.77,0.76,0.75
random_oversampling,-inf,0.77,0.77,0.78,(0.81),0.8
random_pruning,-inf,0.77,0.77,0.74,0.73,0.72
smote,-inf,0.77,0.78,0.79,0.77,0.74
