,0.0,0.2,0.4,0.6,0.8,1.0
svm_smote,-inf,0.6,0.6,0.6,0.6,0.6
No_Sampling,0.6,-inf,-inf,-inf,-inf,-inf
RRP,-inf,0.6,0.6,0.6,0.6,0.6
gaussian_copula,-inf,0.6,0.6,0.6,0.6,0.6
intelligent_pruning,-inf,0.6,0.8,0.6,(1.0),0.8
random_oversampling,-inf,0.6,0.6,0.6,0.6,0.6
random_pruning,-inf,0.6,0.6,0.6,0.8,1.0
smote,-inf,0.6,0.6,0.6,0.6,0.6
