,0.0,0.2,0.4,0.6,0.8,1.0
svm_smote,-inf,(0.71),0.62,0.64,0.66,0.66
No_Sampling,0.66,-inf,-inf,-inf,-inf,-inf
RRP,-inf,0.66,(0.7),0.67,0.64,0.65
gaussian_copula,-inf,(0.7),0.66,(0.69),(0.69),0.67
intelligent_pruning,-inf,(0.73),(0.72),(0.77),(0.72),(0.74)
random_oversampling,-inf,0.66,0.67,0.66,(0.69),0.65
random_pruning,-inf,0.65,0.68,0.67,0.66,0.66
smote,-inf,0.67,0.67,0.6,0.62,0.63
