,0.0,0.2,0.4,0.6,0.8,1.0
svm_smote,-inf,0.62,0.61,0.61,0.61,0.62
No_Sampling,(0.65),-inf,-inf,-inf,-inf,-inf
RRP,-inf,(0.69),(0.69),(0.7),(0.7),(0.7)
gaussian_copula,-inf,0.57,0.58,0.59,0.59,0.59
intelligent_pruning,-inf,(0.67),(0.7),(0.68),(0.69),(0.69)
random_oversampling,-inf,(0.68),(0.7),(0.69),(0.69),(0.68)
random_pruning,-inf,(0.66),(0.66),(0.66),(0.67),(0.7)
smote,-inf,0.64,0.64,0.63,0.64,0.61
