,0.0,0.2,0.4,0.6,0.8,1.0
svm_smote,-inf,0.56,0.54,0.54,0.56,0.58
No_Sampling,0.48,-inf,-inf,-inf,-inf,-inf
RRP,-inf,0.5,0.5,0.5,0.52,0.52
gaussian_copula,-inf,0.5,0.48,0.48,0.48,0.48
intelligent_pruning,-inf,0.52,0.52,0.54,0.65,(0.71)
random_oversampling,-inf,0.5,0.54,0.52,0.54,0.54
random_pruning,-inf,0.48,0.5,0.52,0.56,0.6
smote,-inf,0.48,0.48,0.5,0.5,0.52
