,0.0,0.2,0.4,0.6,0.8,1.0
svm_smote,-inf,0.0,0.0,0.0,0.0,0.0
No_Sampling,0.0,-inf,-inf,-inf,-inf,-inf
RRP,-inf,0.0,0.0,0.0,0.0,0.0
gaussian_copula,-inf,0.0,0.0,0.0,0.0,0.0
intelligent_pruning,-inf,0.14,0.29,0.29,0.29,(0.71)
random_oversampling,-inf,0.0,0.0,0.0,0.0,0.0
random_pruning,-inf,0.0,0.0,0.0,0.14,(0.67)
smote,-inf,0.0,0.0,0.0,0.0,0.0
