,0.0,0.2,0.4,0.6,0.8,1.0
svm_smote,-inf,0.54,0.53,0.44,0.4,0.39
No_Sampling,-inf,-inf,-inf,-inf,-inf,-inf
RRP,-inf,0.52,0.45,0.38,0.36,0.33
gaussian_copula,-inf,0.54,0.54,0.5,0.5,0.5
intelligent_pruning,-inf,(0.56),0.5,0.5,0.45,0.42
random_oversampling,-inf,0.48,0.4,0.39,0.35,0.31
random_pruning,-inf,0.53,0.53,0.5,0.46,0.3
smote,-inf,0.48,0.45,0.36,0.35,0.31
