,0.0,0.2,0.4,0.6,0.8,1.0
svm_smote,-inf,0.22,0.24,(0.3),0.29,0.26
No_Sampling,0.21,-inf,-inf,-inf,-inf,-inf
RRP,-inf,-inf,-inf,-inf,-inf,-inf
gaussian_copula,-inf,(0.3),(0.3),0.29,0.29,0.29
intelligent_pruning,-inf,0.26,0.23,0.26,0.27,0.28
random_oversampling,-inf,0.22,0.23,0.22,0.25,0.24
random_pruning,-inf,0.23,0.24,0.26,0.27,0.27
smote,-inf,0.24,0.26,0.27,0.23,0.27
