,0.0,0.2,0.4,0.6,0.8,1.0
svm_smote,-inf,0.32,0.42,0.42,0.42,(0.44)
No_Sampling,-inf,-inf,-inf,-inf,-inf,-inf
RRP,-inf,0.35,0.43,(0.45),(0.44),(0.45)
gaussian_copula,-inf,0.2,0.2,0.17,0.17,0.17
intelligent_pruning,-inf,0.25,0.27,0.34,0.44,0.43
random_oversampling,-inf,0.33,0.37,(0.45),(0.44),0.42
random_pruning,-inf,0.22,0.29,0.34,0.42,0.42
smote,-inf,0.27,0.44,0.41,0.42,0.42
