,0.0,0.2,0.4,0.6,0.8,1.0
svm_smote,-inf,0.28,0.39,0.45,0.5,0.56
No_Sampling,0.18,-inf,-inf,-inf,-inf,-inf
RRP,-inf,-inf,-inf,-inf,-inf,-inf
gaussian_copula,-inf,0.19,0.2,0.22,0.22,0.22
intelligent_pruning,-inf,0.28,0.31,0.38,0.43,(0.65)
random_oversampling,-inf,0.27,0.37,0.45,0.49,0.56
random_pruning,-inf,0.18,0.21,0.28,0.36,0.55
smote,-inf,0.28,0.38,0.46,0.49,0.54
