,0.0,0.2,0.4,0.6,0.8,1.0
svm_smote,-inf,0.59,0.59,0.59,0.59,0.58
No_Sampling,0.58,-inf,-inf,-inf,-inf,-inf
RRP,-inf,-inf,-inf,-inf,-inf,-inf
gaussian_copula,-inf,0.59,0.58,0.58,0.58,0.58
intelligent_pruning,-inf,0.59,0.61,0.61,0.59,0.58
random_oversampling,-inf,(0.62),0.6,0.59,0.57,0.53
random_pruning,-inf,0.6,0.61,0.61,0.58,0.52
smote,-inf,0.59,0.58,0.56,0.58,0.58
