,0.0,0.2,0.4,0.6,0.8,1.0
svm_smote,-inf,0.66,0.59,0.59,0.58,0.51
No_Sampling,-inf,-inf,-inf,-inf,-inf,-inf
RRP,-inf,0.65,0.6,0.6,0.61,0.56
gaussian_copula,-inf,(0.68),(0.7),(0.68),(0.67),0.65
intelligent_pruning,-inf,0.63,0.57,0.59,0.59,0.55
random_oversampling,-inf,0.58,0.52,0.56,0.44,0.38
random_pruning,-inf,(0.67),0.61,0.51,0.44,0.32
smote,-inf,0.56,0.55,0.59,0.59,0.6
