,0.0,0.2,0.4,0.6,0.8,1.0
svm_smote,-inf,0.44,0.44,0.43,0.46,0.44
No_Sampling,-inf,-inf,-inf,-inf,-inf,-inf
RRP,-inf,0.38,0.38,0.38,0.41,0.42
gaussian_copula,-inf,0.34,0.36,0.35,0.36,0.38
intelligent_pruning,-inf,0.4,0.4,0.46,(0.49),(0.5)
random_oversampling,-inf,0.35,0.36,0.47,0.45,0.41
random_pruning,-inf,0.36,0.4,0.42,0.46,0.44
smote,-inf,0.34,0.39,0.47,0.43,0.46
