,0.0,0.2,0.4,0.6,0.8,1.0
svm_smote,-inf,0.48,0.49,0.51,0.51,0.5
No_Sampling,0.47,-inf,-inf,-inf,-inf,-inf
RRP,-inf,-inf,-inf,-inf,-inf,-inf
gaussian_copula,-inf,0.46,0.46,0.46,0.47,0.45
intelligent_pruning,-inf,0.48,0.5,0.53,0.59,(0.72)
random_oversampling,-inf,0.48,0.52,0.54,0.53,0.56
random_pruning,-inf,0.48,0.5,0.53,0.58,0.68
smote,-inf,0.49,0.49,0.48,0.5,0.5
