,0.0,0.2,0.4,0.6,0.8,1.0
svm_smote,-inf,0.53,0.54,0.53,0.54,0.54
No_Sampling,0.51,-inf,-inf,-inf,-inf,-inf
RRP,-inf,-inf,-inf,-inf,-inf,-inf
gaussian_copula,-inf,0.49,0.49,0.49,0.49,0.49
intelligent_pruning,-inf,0.52,0.54,0.6,0.64,(0.69)
random_oversampling,-inf,0.5,0.54,0.55,0.53,0.51
random_pruning,-inf,0.5,0.53,0.57,0.6,0.69
smote,-inf,0.54,0.52,0.54,0.52,0.54
