algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
random_oversampling,0.2,82,LR,0.69,0.16883116883116883,0.30952380952380953,0.2184873949579832,0.5794573643410852
random_oversampling,0.2,82,SVM,0.68,0.15384615384615385,0.2857142857142857,0.2,0.5811184939091916
random_oversampling,0.2,82,DT,0.6566666666666666,0.16483516483516483,0.35714285714285715,0.22556390977443608,0.5312846068660022
random_oversampling,0.2,82,GB,0.6866666666666666,0.15789473684210525,0.2857142857142857,0.2033898305084746,0.5705518641565153
random_oversampling,0.2,82,lightGBM,0.69,0.16883116883116883,0.30952380952380953,0.2184873949579832,0.5732742709486895
random_oversampling,0.4,82,LR,0.68,0.17073170731707318,0.3333333333333333,0.22580645161290325,0.5768733850129198
random_oversampling,0.4,82,SVM,0.6666666666666666,0.14634146341463414,0.2857142857142857,0.1935483870967742,0.5845330380214101
random_oversampling,0.4,82,DT,0.6666666666666666,0.16279069767441862,0.3333333333333333,0.21875,0.5271317829457364
random_oversampling,0.4,82,GB,0.68,0.15384615384615385,0.2857142857142857,0.2,0.5776116648209672
random_oversampling,0.4,82,lightGBM,0.6833333333333333,0.18072289156626506,0.35714285714285715,0.24000000000000002,0.5669066076042819
random_oversampling,0.6,82,LR,0.6733333333333333,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.5825027685492802
random_oversampling,0.6,82,SVM,0.66,0.14285714285714285,0.2857142857142857,0.19047619047619047,0.5840716131413806
random_oversampling,0.6,82,DT,0.6833333333333333,0.1728395061728395,0.3333333333333333,0.2276422764227642,0.5368217054263565
random_oversampling,0.6,82,GB,0.6833333333333333,0.18072289156626506,0.35714285714285715,0.24000000000000002,0.5758582502768549
random_oversampling,0.6,82,lightGBM,0.6733333333333333,0.15,0.2857142857142857,0.1967213114754098,0.5682908822443706
random_oversampling,0.8,82,LR,0.6766666666666666,0.1839080459770115,0.38095238095238093,0.24806201550387594,0.582687338501292
random_oversampling,0.8,82,SVM,0.6633333333333333,0.15294117647058825,0.30952380952380953,0.20472440944881892,0.582779623477298
random_oversampling,0.8,82,DT,0.69,0.1927710843373494,0.38095238095238093,0.256,0.5606312292358804
random_oversampling,0.8,82,GB,0.67,0.1724137931034483,0.35714285714285715,0.23255813953488377,0.5722591362126246
random_oversampling,0.8,82,lightGBM,0.6733333333333333,0.15,0.2857142857142857,0.1967213114754098,0.563953488372093
random_oversampling,1.0,82,LR,0.66,0.17391304347826086,0.38095238095238093,0.2388059701492537,0.5826873385012921
random_oversampling,1.0,82,SVM,0.6566666666666666,0.14942528735632185,0.30952380952380953,0.20155038759689922,0.5812107788851975
random_oversampling,1.0,82,DT,0.69,0.18518518518518517,0.35714285714285715,0.24390243902439024,0.5506644518272426
random_oversampling,1.0,82,GB,0.6533333333333333,0.15555555555555556,0.3333333333333333,0.21212121212121213,0.5741971207087486
random_oversampling,1.0,82,lightGBM,0.68,0.1625,0.30952380952380953,0.21311475409836067,0.569952011812477
random_oversampling,0.2,15,LR,0.69,0.16883116883116883,0.30952380952380953,0.2184873949579832,0.5794573643410852
random_oversampling,0.2,15,SVM,0.68,0.15384615384615385,0.2857142857142857,0.2,0.5811184939091916
