algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc,per_cluster_pruning_ratio
intelligent_pruning,0.2,82,LR,0.855,0.7777777777777778,0.4772727272727273,0.5915492957746479,0.8409090909090909,0.5
intelligent_pruning,0.2,82,SVM,0.82,0.7,0.3181818181818182,0.4375,0.7781177156177157,0.5
intelligent_pruning,0.2,82,DT,0.765,0.45714285714285713,0.36363636363636365,0.4050632911392405,0.620920745920746,0.5
intelligent_pruning,0.4,82,LR,0.845,0.7096774193548387,0.5,0.5866666666666667,0.8486305361305362,0.5
intelligent_pruning,0.4,82,SVM,0.83,0.6666666666666666,0.45454545454545453,0.5405405405405405,0.7990967365967366,0.5
intelligent_pruning,0.4,82,DT,0.755,0.4418604651162791,0.4318181818181818,0.4367816091954023,0.6389860139860141,0.5
intelligent_pruning,0.6,82,LR,0.845,0.696969696969697,0.5227272727272727,0.5974025974025974,0.8317307692307693,0.5
intelligent_pruning,0.6,82,SVM,0.825,0.6363636363636364,0.4772727272727273,0.5454545454545454,0.7916666666666667,0.5
intelligent_pruning,0.6,82,DT,0.72,0.4032258064516129,0.5681818181818182,0.4716981132075472,0.6655011655011656,0.5
intelligent_pruning,0.8,82,LR,0.83,0.631578947368421,0.5454545454545454,0.5853658536585366,0.8301282051282052,0.5
intelligent_pruning,0.8,82,SVM,0.83,0.631578947368421,0.5454545454545454,0.5853658536585366,0.7918123543123543,0.5
intelligent_pruning,0.8,82,DT,0.73,0.41379310344827586,0.5454545454545454,0.47058823529411764,0.6637529137529138,0.5
intelligent_pruning,1.0,82,LR,0.82,0.5952380952380952,0.5681818181818182,0.5813953488372093,0.8344988344988344,0.5
intelligent_pruning,1.0,82,SVM,0.815,0.5853658536585366,0.5454545454545454,0.5647058823529411,0.8018648018648018,0.5
intelligent_pruning,1.0,82,DT,0.735,0.4262295081967213,0.5909090909090909,0.49523809523809526,0.6832750582750583,0.5
intelligent_pruning,0.2,82,LR,0.855,0.7777777777777778,0.4772727272727273,0.5915492957746479,0.8505244755244754,0.7
intelligent_pruning,0.2,82,SVM,0.82,0.6818181818181818,0.3409090909090909,0.45454545454545453,0.7803030303030304,0.7
intelligent_pruning,0.2,82,DT,0.78,0.5,0.4090909090909091,0.45,0.6468531468531469,0.7
intelligent_pruning,0.4,82,LR,0.855,0.7419354838709677,0.5227272727272727,0.6133333333333333,0.8496503496503497,0.7
intelligent_pruning,0.4,82,SVM,0.84,0.7307692307692307,0.4318181818181818,0.5428571428571428,0.7993881118881119,0.7
intelligent_pruning,0.4,82,DT,0.77,0.4772727272727273,0.4772727272727273,0.4772727272727273,0.664918414918415,0.7
intelligent_pruning,0.6,82,LR,0.835,0.6486486486486487,0.5454545454545454,0.5925925925925926,0.8346445221445221,0.7
intelligent_pruning,0.6,82,SVM,0.82,0.6176470588235294,0.4772727272727273,0.5384615384615384,0.7925407925407925,0.7
intelligent_pruning,0.6,82,DT,0.74,0.42857142857142855,0.5454545454545454,0.4799999999999999,0.6701631701631702,0.7
intelligent_pruning,0.8,82,LR,0.835,0.6170212765957447,0.6590909090909091,0.6373626373626374,0.8416375291375291,0.7
intelligent_pruning,0.8,82,SVM,0.825,0.6,0.6136363636363636,0.6067415730337078,0.8120629370629371,0.7
intelligent_pruning,0.8,82,DT,0.705,0.3880597014925373,0.5909090909090909,0.46846846846846846,0.664044289044289,0.7
intelligent_pruning,1.0,82,LR,0.785,0.5081967213114754,0.7045454545454546,0.5904761904761906,0.8532925407925408,0.7
intelligent_pruning,1.0,82,SVM,0.77,0.484375,0.7045454545454546,0.5740740740740741,0.8197843822843822,0.7
intelligent_pruning,1.0,82,DT,0.695,0.3950617283950617,0.7272727272727273,0.5119999999999999,0.7065850815850816,0.7
intelligent_pruning,0.2,82,LR,0.85,0.7692307692307693,0.45454545454545453,0.5714285714285714,0.835518648018648,0.9
intelligent_pruning,0.2,82,SVM,0.83,0.75,0.3409090909090909,0.46875,0.7862762237762239,0.9
intelligent_pruning,0.2,82,DT,0.72,0.35,0.3181818181818182,0.3333333333333333,0.5757575757575757,0.9
intelligent_pruning,0.4,82,LR,0.855,0.7419354838709677,0.5227272727272727,0.6133333333333333,0.8374125874125874,0.9
intelligent_pruning,0.4,82,SVM,0.84,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.7900641025641026,0.9
intelligent_pruning,0.4,82,DT,0.785,0.5121951219512195,0.4772727272727273,0.49411764705882355,0.6745337995337995,0.9
intelligent_pruning,0.6,82,LR,0.835,0.6410256410256411,0.5681818181818182,0.6024096385542169,0.8388694638694639,0.9
intelligent_pruning,0.6,82,SVM,0.835,0.6571428571428571,0.5227272727272727,0.5822784810126581,0.8110431235431236,0.9
intelligent_pruning,0.6,82,DT,0.73,0.41379310344827586,0.5454545454545454,0.47058823529411764,0.6637529137529138,0.9
intelligent_pruning,0.8,82,LR,0.825,0.5918367346938775,0.6590909090909091,0.6236559139784946,0.8423659673659674,0.9
intelligent_pruning,0.8,82,SVM,0.81,0.56,0.6363636363636364,0.5957446808510639,0.8173076923076923,0.9
intelligent_pruning,0.8,82,DT,0.73,0.42857142857142855,0.6818181818181818,0.5263157894736843,0.7127039627039626,0.9
intelligent_pruning,1.0,82,LR,0.76,0.46774193548387094,0.6590909090909091,0.5471698113207547,0.8326048951048951,0.9
intelligent_pruning,1.0,82,SVM,0.725,0.43037974683544306,0.7727272727272727,0.5528455284552845,0.8043414918414918,0.9
intelligent_pruning,1.0,82,DT,0.685,0.3698630136986301,0.6136363636363636,0.4615384615384615,0.6593822843822844,0.9
