algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc,per_cluster_pruning_ratio
intelligent_pruning,0.2,82,LR,0.405,0.03278688524590164,0.8,0.06299212598425197,0.6635897435897435,0.5
intelligent_pruning,0.2,82,SVM,0.42,0.03361344537815126,0.8,0.06451612903225806,0.5374358974358975,0.5
intelligent_pruning,0.2,82,DT,0.37,0.031007751937984496,0.8,0.059701492537313425,0.5794871794871794,0.5
intelligent_pruning,0.4,82,LR,0.4,0.032520325203252036,0.8,0.06250000000000001,0.6615384615384615,0.5
intelligent_pruning,0.4,82,SVM,0.415,0.03333333333333333,0.8,0.064,0.5364102564102564,0.5
intelligent_pruning,0.4,82,DT,0.365,0.03076923076923077,0.8,0.05925925925925926,0.5769230769230769,0.5
intelligent_pruning,0.6,82,LR,0.405,0.03278688524590164,0.8,0.06299212598425197,0.6697435897435897,0.5
intelligent_pruning,0.6,82,SVM,0.465,0.03636363636363636,0.8,0.06956521739130435,0.5487179487179488,0.5
intelligent_pruning,0.6,82,DT,0.38,0.031496062992125984,0.8,0.06060606060606061,0.5846153846153846,0.5
intelligent_pruning,0.8,82,LR,0.43,0.03418803418803419,0.8,0.06557377049180328,0.6564102564102564,0.5
intelligent_pruning,0.8,82,SVM,0.465,0.03636363636363636,0.8,0.06956521739130435,0.5517948717948719,0.5
intelligent_pruning,0.8,82,DT,0.395,0.03225806451612903,0.8,0.06201550387596899,0.5923076923076923,0.5
intelligent_pruning,1.0,82,LR,0.425,0.03389830508474576,0.8,0.06504065040650407,0.6676923076923076,0.5
intelligent_pruning,1.0,82,SVM,0.47,0.03669724770642202,0.8,0.07017543859649122,0.5538461538461539,0.5
intelligent_pruning,1.0,82,DT,0.415,0.03333333333333333,0.8,0.064,0.6025641025641026,0.5
intelligent_pruning,0.2,82,LR,0.405,0.03278688524590164,0.8,0.06299212598425197,0.6502564102564102,0.7
intelligent_pruning,0.2,82,SVM,0.4,0.032520325203252036,0.8,0.06250000000000001,0.5384615384615384,0.7
intelligent_pruning,0.2,82,DT,0.375,0.03125,0.8,0.06015037593984962,0.5820512820512821,0.7
intelligent_pruning,0.4,82,LR,0.415,0.03333333333333333,0.8,0.064,0.6779487179487179,0.7
intelligent_pruning,0.4,82,SVM,0.44,0.034782608695652174,0.8,0.06666666666666667,0.5517948717948719,0.7
intelligent_pruning,0.4,82,DT,0.36,0.030534351145038167,0.8,0.0588235294117647,0.5743589743589743,0.7
intelligent_pruning,0.6,82,LR,0.425,0.03389830508474576,0.8,0.06504065040650407,0.6574358974358975,0.7
intelligent_pruning,0.6,82,SVM,0.445,0.03508771929824561,0.8,0.06722689075630252,0.5507692307692308,0.7
intelligent_pruning,0.6,82,DT,0.405,0.03278688524590164,0.8,0.06299212598425197,0.5974358974358974,0.7
intelligent_pruning,0.8,82,LR,0.435,0.034482758620689655,0.8,0.06611570247933884,0.6605128205128206,0.7
intelligent_pruning,0.8,82,SVM,0.47,0.03669724770642202,0.8,0.07017543859649122,0.5456410256410257,0.7
intelligent_pruning,0.8,82,DT,0.4,0.024793388429752067,0.6,0.047619047619047616,0.49743589743589745,0.7
intelligent_pruning,1.0,82,LR,0.46,0.036036036036036036,0.8,0.06896551724137931,0.5958974358974358,0.7
intelligent_pruning,1.0,82,SVM,0.505,0.0392156862745098,0.8,0.07476635514018691,0.5302564102564102,0.7
intelligent_pruning,1.0,82,DT,0.465,0.03636363636363636,0.8,0.06956521739130435,0.6282051282051282,0.7
intelligent_pruning,0.2,82,LR,0.415,0.03333333333333333,0.8,0.064,0.6635897435897437,0.9
intelligent_pruning,0.2,82,SVM,0.39,0.032,0.8,0.061538461538461535,0.5528205128205128,0.9
intelligent_pruning,0.2,82,DT,0.36,0.030534351145038167,0.8,0.0588235294117647,0.5743589743589743,0.9
intelligent_pruning,0.4,82,LR,0.405,0.03278688524590164,0.8,0.06299212598425197,0.6533333333333333,0.9
intelligent_pruning,0.4,82,SVM,0.44,0.034782608695652174,0.8,0.06666666666666667,0.558974358974359,0.9
intelligent_pruning,0.4,82,DT,0.37,0.031007751937984496,0.8,0.059701492537313425,0.5794871794871794,0.9
intelligent_pruning,0.6,82,LR,0.415,0.03333333333333333,0.8,0.064,0.6451282051282052,0.9
intelligent_pruning,0.6,82,SVM,0.445,0.03508771929824561,0.8,0.06722689075630252,0.517948717948718,0.9
intelligent_pruning,0.6,82,DT,0.4,0.032520325203252036,0.8,0.06250000000000001,0.5948717948717949,0.9
intelligent_pruning,0.8,82,LR,0.45,0.035398230088495575,0.8,0.06779661016949151,0.5579487179487179,0.9
intelligent_pruning,0.8,82,SVM,0.48,0.037383177570093455,0.8,0.07142857142857142,0.5507692307692308,0.9
intelligent_pruning,0.8,82,DT,0.445,0.03508771929824561,0.8,0.06722689075630252,0.617948717948718,0.9
intelligent_pruning,1.0,82,LR,0.455,0.03571428571428571,0.8,0.06837606837606837,0.6861538461538462,0.9
intelligent_pruning,1.0,82,SVM,0.49,0.0380952380952381,0.8,0.07272727272727274,0.5333333333333334,0.9
intelligent_pruning,1.0,82,DT,0.455,0.02727272727272727,0.6,0.05217391304347826,0.5256410256410257,0.9
intelligent_pruning,0.2,82,LR,0.41,0.03305785123966942,0.8,0.06349206349206349,0.6605128205128206,1.0
intelligent_pruning,0.2,82,SVM,0.395,0.03225806451612903,0.8,0.06201550387596899,0.5517948717948719,1.0
intelligent_pruning,0.2,82,DT,0.365,0.03076923076923077,0.8,0.05925925925925926,0.5769230769230769,1.0
intelligent_pruning,0.4,82,LR,0.41,0.03305785123966942,0.8,0.06349206349206349,0.6553846153846155,1.0
intelligent_pruning,0.4,82,SVM,0.435,0.034482758620689655,0.8,0.06611570247933884,0.5569230769230769,1.0
intelligent_pruning,0.4,82,DT,0.405,0.03278688524590164,0.8,0.06299212598425197,0.5974358974358974,1.0
intelligent_pruning,0.6,82,LR,0.415,0.03333333333333333,0.8,0.064,0.5784615384615385,1.0
intelligent_pruning,0.6,82,SVM,0.44,0.034782608695652174,0.8,0.06666666666666667,0.5415384615384615,1.0
intelligent_pruning,0.6,82,DT,0.405,0.03278688524590164,0.8,0.06299212598425197,0.5974358974358974,1.0
intelligent_pruning,0.8,82,LR,0.44,0.034782608695652174,0.8,0.06666666666666667,0.558974358974359,1.0
intelligent_pruning,0.8,82,SVM,0.465,0.03636363636363636,0.8,0.06956521739130435,0.5733333333333334,1.0
intelligent_pruning,0.8,82,DT,0.455,0.03571428571428571,0.8,0.06837606837606837,0.6230769230769231,1.0
intelligent_pruning,1.0,82,LR,0.475,0.037037037037037035,0.8,0.07079646017699115,0.6892307692307692,1.0
intelligent_pruning,1.0,82,SVM,0.485,0.03773584905660377,0.8,0.07207207207207207,0.5292307692307692,1.0
intelligent_pruning,1.0,82,DT,0.47,0.028037383177570093,0.6,0.053571428571428575,0.5333333333333333,1.0
intelligent_pruning,0.2,15,LR,0.43,0.02608695652173913,0.6,0.049999999999999996,0.6261538461538462,0.5
intelligent_pruning,0.2,15,SVM,0.46,0.036036036036036036,0.8,0.06896551724137931,0.6297435897435898,0.5
intelligent_pruning,0.2,15,DT,0.4,0.024793388429752067,0.6,0.047619047619047616,0.49743589743589745,0.5
intelligent_pruning,0.4,15,LR,0.425,0.02586206896551724,0.6,0.049586776859504134,0.618974358974359,0.5
intelligent_pruning,0.4,15,SVM,0.465,0.03636363636363636,0.8,0.06956521739130435,0.6112820512820513,0.5
intelligent_pruning,0.4,15,DT,0.405,0.025,0.6,0.048,0.5,0.5
intelligent_pruning,0.6,15,LR,0.435,0.02631578947368421,0.6,0.050420168067226885,0.5728205128205128,0.5
intelligent_pruning,0.6,15,SVM,0.46,0.036036036036036036,0.8,0.06896551724137931,0.6287179487179487,0.5
intelligent_pruning,0.6,15,DT,0.41,0.025210084033613446,0.6,0.04838709677419355,0.5025641025641026,0.5
intelligent_pruning,0.8,15,LR,0.42,0.02564102564102564,0.6,0.04918032786885246,0.5769230769230769,0.5
intelligent_pruning,0.8,15,SVM,0.48,0.037383177570093455,0.8,0.07142857142857142,0.598974358974359,0.5
intelligent_pruning,0.8,15,DT,0.41,0.025210084033613446,0.6,0.04838709677419355,0.5025641025641026,0.5
intelligent_pruning,1.0,15,LR,0.43,0.02608695652173913,0.6,0.049999999999999996,0.5656410256410257,0.5
intelligent_pruning,1.0,15,SVM,0.48,0.037383177570093455,0.8,0.07142857142857142,0.597948717948718,0.5
intelligent_pruning,1.0,15,DT,0.435,0.02631578947368421,0.6,0.050420168067226885,0.5153846153846154,0.5
intelligent_pruning,0.2,15,LR,0.425,0.02586206896551724,0.6,0.049586776859504134,0.6261538461538462,0.7
intelligent_pruning,0.2,15,SVM,0.46,0.036036036036036036,0.8,0.06896551724137931,0.6184615384615385,0.7
intelligent_pruning,0.2,15,DT,0.4,0.024793388429752067,0.6,0.047619047619047616,0.49743589743589745,0.7
intelligent_pruning,0.4,15,LR,0.42,0.02564102564102564,0.6,0.04918032786885246,0.6128205128205129,0.7
intelligent_pruning,0.4,15,SVM,0.455,0.03571428571428571,0.8,0.06837606837606837,0.6205128205128205,0.7
intelligent_pruning,0.4,15,DT,0.395,0.02459016393442623,0.6,0.04724409448818897,0.49487179487179483,0.7
intelligent_pruning,0.6,15,LR,0.42,0.02564102564102564,0.6,0.04918032786885246,0.6343589743589744,0.7
intelligent_pruning,0.6,15,SVM,0.45,0.035398230088495575,0.8,0.06779661016949151,0.6205128205128205,0.7
