algo,ratio,seed,learner,acc,prec,rec,f1,auc_roc
gaussian_copula,0.2,82,LR,0.469,0.15696649029982362,0.6267605633802817,0.25105782792665726,0.578728782954135
gaussian_copula,0.2,82,SVM,0.522,0.1830188679245283,0.6830985915492958,0.28869047619047616,0.6436110837519288
gaussian_copula,0.2,82,DT,0.524,0.18609022556390978,0.6971830985915493,0.29376854599406527,0.5962605469647723
gaussian_copula,0.4,82,LR,0.47,0.15724381625441697,0.6267605633802817,0.2514124293785311,0.5799763616665025
gaussian_copula,0.4,82,SVM,0.523,0.1833648393194707,0.6830985915492958,0.2891207153502236,0.6448750779736695
gaussian_copula,0.4,82,DT,0.523,0.18455743879472694,0.6901408450704225,0.2912332838038633,0.5927394202042089
gaussian_copula,0.6,82,LR,0.474,0.1583629893238434,0.6267605633802817,0.25284090909090906,0.5813798877179159
gaussian_copula,0.6,82,SVM,0.524,0.18371212121212122,0.6830985915492958,0.28955223880597014,0.6456219836501527
gaussian_copula,0.6,82,DT,0.525,0.18525519848771266,0.6901408450704225,0.29210134128166915,0.5939049213697101
gaussian_copula,0.8,82,LR,0.479,0.1622103386809269,0.6408450704225352,0.2588904694167852,0.5821514166584589
gaussian_copula,0.8,82,SVM,0.524,0.18490566037735848,0.6901408450704225,0.29166666666666663,0.6462129419875898
gaussian_copula,0.8,82,DT,0.527,0.1859582542694497,0.6901408450704225,0.29297458893871453,0.5950704225352113
gaussian_copula,1.0,82,LR,0.479,0.1622103386809269,0.6408450704225352,0.2588904694167852,0.582192455431892
gaussian_copula,1.0,82,SVM,0.527,0.18714555765595464,0.6971830985915493,0.2950819672131148,0.6457368922157656
gaussian_copula,1.0,82,DT,0.524,0.18371212121212122,0.6830985915492958,0.28955223880597014,0.5903837946091467
gaussian_copula,0.2,15,LR,0.539,0.14157303370786517,0.44366197183098594,0.21465076660988075,0.5054745723759808
gaussian_copula,0.2,15,SVM,0.562,0.16666666666666666,0.5211267605633803,0.2525597269624573,0.564677106930628
gaussian_copula,0.2,15,DT,0.565,0.16780045351473924,0.5211267605633803,0.2538593481989708,0.5466939164122262
gaussian_copula,0.4,15,LR,0.536,0.14537444933920704,0.4647887323943662,0.22147651006711408,0.505294001772875
gaussian_copula,0.4,15,SVM,0.565,0.16780045351473924,0.5211267605633803,0.2538593481989708,0.563815292688532
gaussian_copula,0.4,15,DT,0.569,0.17233560090702948,0.5352112676056338,0.2607204116638079,0.5549016710988541
gaussian_copula,0.6,15,LR,0.535,0.14660831509846828,0.47183098591549294,0.22370617696160267,0.5047851209823041
gaussian_copula,0.6,15,SVM,0.562,0.16515837104072398,0.5140845070422535,0.25,0.5646360681571949
gaussian_copula,0.6,15,DT,0.565,0.1662870159453303,0.5140845070422535,0.2512908777969019,0.5437555402344134
gaussian_copula,0.8,15,LR,0.531,0.14533622559652928,0.47183098591549294,0.22222222222222218,0.5039315144948948
gaussian_copula,0.8,15,SVM,0.563,0.1655328798185941,0.5140845070422535,0.2504288164665523,0.5643159657244164
gaussian_copula,0.8,15,DT,0.567,0.17006802721088435,0.528169014084507,0.25728987993138935,0.5507977937555402
gaussian_copula,1.0,15,LR,0.534,0.1462882096069869,0.47183098591549294,0.22333333333333333,0.5044814340588989
gaussian_copula,1.0,15,SVM,0.561,0.16478555304740405,0.5140845070422535,0.24957264957264957,0.5645293673462687
gaussian_copula,1.0,15,DT,0.566,0.16968325791855204,0.528169014084507,0.2568493150684931,0.5502150431727896
gaussian_copula,0.2,4,LR,0.757,0.31365313653136534,0.5985915492957746,0.4116222760290557,0.7523556255950621
gaussian_copula,0.2,4,SVM,0.749,0.3087719298245614,0.6197183098591549,0.41217798594847777,0.7786286483469581
gaussian_copula,0.2,4,DT,0.734,0.2891156462585034,0.5985915492957746,0.3899082568807339,0.6775009028530155
gaussian_copula,0.4,4,LR,0.749,0.3046594982078853,0.5985915492957746,0.4038004750593824,0.7478085294986703
gaussian_copula,0.4,4,SVM,0.75,0.3111888111888112,0.6267605633802817,0.4158878504672897,0.7784891165172854
gaussian_copula,0.4,4,DT,0.734,0.2891156462585034,0.5985915492957746,0.3899082568807339,0.6775009028530155
gaussian_copula,0.6,4,LR,0.744,0.29642857142857143,0.5845070422535211,0.3933649289099526,0.7446567516990051
